winning_seat,loser_death_description,halfturns_played,milliseconds_passed,seat_0_lands,seat_0_board_size,seat_0_hand_size,seat_1_lands,seat_1_board_size,seat_1_hand_size
0,DeathDescription.LIFETOTAL,12,37.24980354309082,3,4,6,5,5,3
0,DeathDescription.LIFETOTAL,10,26.203393936157227,5,5,2,5,3,4
0,DeathDescription.LIFETOTAL,10,23.325204849243164,6,5,1,5,4,3
0,DeathDescription.LIFETOTAL,10,29.321908950805664,6,4,2,5,4,3
0,DeathDescription.LIFETOTAL,10,38.8798713684082,4,5,3,5,2,5
0,DeathDescription.LIFETOTAL,12,31.327009201049805,6,5,2,6,5,2
0,DeathDescription.LIFETOTAL,10,28.717756271362305,6,4,2,3,3,6
0,DeathDescription.LIFETOTAL,12,33.477783203125,5,5,3,5,3,5
0,DeathDescription.LIFETOTAL,10,34.80243682861328,6,4,2,4,4,4
1,DeathDescription.LIFETOTAL,11,23.08940887451172,2,0,7,6,5,2
1,DeathDescription.LIFETOTAL,11,29.039859771728516,6,3,3,6,4,3
0,DeathDescription.LIFETOTAL,12,24.72996711730957,5,5,3,6,5,2
1,DeathDescription.LIFETOTAL,11,31.52298927307129,5,0,7,6,5,2
0,DeathDescription.LIFETOTAL,10,33.306121826171875,5,5,2,5,4,3
0,DeathDescription.LIFETOTAL,10,21.273136138916016,3,5,4,5,3,4
0,DeathDescription.LIFETOTAL,10,43.70927810668945,5,5,2,5,3,4
0,DeathDescription.LIFETOTAL,12,25.86960792541504,6,5,2,5,4,4
0,DeathDescription.LIFETOTAL,10,28.548002243041992,4,5,3,5,4,3
1,DeathDescription.LIFETOTAL,11,27.164697647094727,3,0,7,6,5,2
0,DeathDescription.LIFETOTAL,12,72.68524169921875,6,5,2,6,4,3
1,DeathDescription.LIFETOTAL,13,42.845726013183594,6,0,7,7,5,2
0,DeathDescription.LIFETOTAL,10,27.17137336730957,6,3,3,5,3,4
0,DeathDescription.LIFETOTAL,12,30.583858489990234,5,5,3,6,4,3
1,DeathDescription.LIFETOTAL,11,32.683372497558594,6,2,4,6,5,2
0,DeathDescription.LIFETOTAL,10,38.38348388671875,6,5,1,5,4,3
0,DeathDescription.LIFETOTAL,10,31.28814697265625,4,5,3,5,3,4
0,DeathDescription.LIFETOTAL,12,27.956008911132812,6,5,2,6,5,2
0,DeathDescription.LIFETOTAL,10,31.537294387817383,6,5,1,5,3,4
1,DeathDescription.LIFETOTAL,11,47.85346984863281,3,3,5,5,5,3
0,DeathDescription.LIFETOTAL,10,26.901721954345703,5,4,3,5,3,4
1,DeathDescription.LIFETOTAL,15,47.44362831115723,5,1,6,7,7,1
0,DeathDescription.LIFETOTAL,10,42.788028717041016,6,5,1,5,3,4
0,DeathDescription.LIFETOTAL,10,38.21849822998047,6,4,2,4,4,4
0,DeathDescription.LIFETOTAL,10,37.044525146484375,6,4,2,4,4,4
1,DeathDescription.LIFETOTAL,11,28.076171875,6,0,6,5,6,2
0,DeathDescription.LIFETOTAL,10,33.782958984375,4,6,2,5,4,3
0,DeathDescription.LIFETOTAL,10,37.778377532958984,6,4,2,5,3,4
0,DeathDescription.LIFETOTAL,12,55.916547775268555,7,6,0,6,4,3
0,DeathDescription.LIFETOTAL,10,40.37022590637207,6,5,1,5,4,3
0,DeathDescription.LIFETOTAL,10,31.64219856262207,6,4,2,5,4,3
0,DeathDescription.LIFETOTAL,10,31.554460525512695,4,5,3,5,3,4
1,DeathDescription.LIFETOTAL,15,54.23784255981445,3,3,6,5,7,3
1,DeathDescription.LIFETOTAL,15,27.146339416503906,5,0,7,7,7,1
1,DeathDescription.LIFETOTAL,11,28.41639518737793,5,1,6,6,5,2
1,DeathDescription.LIFETOTAL,11,31.279802322387695,5,4,3,5,5,3
0,DeathDescription.LIFETOTAL,12,44.68178749084473,7,5,1,5,1,6
1,DeathDescription.LIFETOTAL,11,28.523683547973633,5,3,4,6,4,3
0,DeathDescription.LIFETOTAL,12,40.87424278259277,5,6,2,6,4,3
0,DeathDescription.LIFETOTAL,10,37.056922912597656,4,6,2,4,4,4
0,DeathDescription.LIFETOTAL,12,29.066801071166992,4,5,4,6,4,3
1,DeathDescription.LIFETOTAL,11,25.725603103637695,4,4,4,6,5,2
0,DeathDescription.LIFETOTAL,10,27.647972106933594,5,5,2,5,4,3
0,DeathDescription.LIFETOTAL,12,28.533935546875,4,5,4,6,4,3
0,DeathDescription.LIFETOTAL,10,27.435302734375,4,5,3,4,4,4
0,DeathDescription.LIFETOTAL,10,29.257535934448242,4,5,3,5,3,4
0,DeathDescription.LIFETOTAL,10,52.58750915527344,5,5,2,5,4,3
1,DeathDescription.LIFETOTAL,13,21.69513702392578,3,2,5,6,5,3
0,DeathDescription.LIFETOTAL,10,31.809091567993164,5,5,2,5,4,3
0,DeathDescription.LIFETOTAL,10,32.55867958068848,4,5,3,5,4,3
0,DeathDescription.LIFETOTAL,10,48.63548278808594,6,5,1,4,3,5
0,DeathDescription.LIFETOTAL,10,26.551246643066406,6,5,1,5,0,7
1,DeathDescription.LIFETOTAL,13,39.22390937805176,4,3,5,7,5,2
1,DeathDescription.LIFETOTAL,11,38.45858573913574,3,0,7,4,5,4
0,DeathDescription.LIFETOTAL,12,29.247760772705078,7,5,1,4,5,4
1,DeathDescription.LIFETOTAL,11,27.47511863708496,4,3,5,6,6,1
0,DeathDescription.LIFETOTAL,10,27.102231979370117,5,5,2,5,4,3
0,DeathDescription.LIFETOTAL,10,30.360698699951172,4,5,3,5,3,4
0,DeathDescription.LIFETOTAL,10,31.71539306640625,4,4,4,5,3,4
0,DeathDescription.LIFETOTAL,10,27.647972106933594,6,5,1,5,4,3
1,DeathDescription.LIFETOTAL,11,33.872127532958984,6,4,2,6,6,1
0,DeathDescription.LIFETOTAL,12,35.64262390136719,4,5,4,6,4,3
1,DeathDescription.LIFETOTAL,11,28.28192710876465,6,4,2,6,5,2
0,DeathDescription.LIFETOTAL,10,36.12184524536133,6,5,1,4,4,4
0,DeathDescription.LIFETOTAL,10,26.477336883544922,6,5,1,4,4,4
0,DeathDescription.LIFETOTAL,10,60.55331230163574,6,4,2,3,2,6
1,DeathDescription.LIFETOTAL,11,28.16629409790039,6,5,1,4,5,4
1,DeathDescription.LIFETOTAL,13,29.334068298339844,3,3,6,5,5,3
0,DeathDescription.LIFETOTAL,10,26.55792236328125,4,5,3,5,4,3
0,DeathDescription.LIFETOTAL,12,34.28244590759277,5,6,2,4,2,5
0,DeathDescription.LIFETOTAL,10,27.151823043823242,5,5,2,5,4,3
0,DeathDescription.LIFETOTAL,14,36.22078895568848,8,5,1,5,3,5
1,DeathDescription.LIFETOTAL,11,27.678251266479492,4,3,5,4,5,4
1,DeathDescription.LIFETOTAL,11,34.012556076049805,4,4,4,6,5,2
1,DeathDescription.LIFETOTAL,11,32.91583061218262,4,4,4,6,5,2
1,DeathDescription.LIFETOTAL,11,28.743505477905273,5,3,4,6,4,3
